Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1962,12,31,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,D1,2
1963,3,17,,,Irazu,Costa Rica,Costa Rica,9.979,-83.852,D1,3
1963,3,18,TSU,,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,D1,5
1963,5,5,,,Semeru,Java,Indonesia,-8.108,112.92,D1,2
1963,5,16,,EQ,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,D1,3
1963,5,21,,,Villarrica,Chile-C,Chile,-39.42,-71.93,D1,2
1963,9,5,,,Batur,Lesser Sunda Is,Indonesia,-8.242,115.375,D1,2
1963,9,28,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,3
1963,12,10,,,Irazu,Costa Rica,Costa Rica,9.979,-83.852,D1,3
1964,1,1,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,D1,2
1964,3,3,,,Villarrica,Chile-C,Chile,-39.42,-71.93,D1,2
1964,12,13,,,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,D1,1
1965,9,28,TSU,,Taal,Luzon-Philippines,Philippines,14.002,120.993,D1,4
1965,10,24,TSU,,Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,D1,0
1966,1,13,TSU,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,D1,3
1966,4,26,,,Kelut,Java,Indonesia,-7.93,112.308,D1,4
1966,8,12,,,Awu,Sangihe Is-Indonesia,Indonesia,3.67,125.5,D1,4
1966,8,14,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,D1,4
1967,7,8,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,D1,3
1967,8,31,,,Semeru,Java,Indonesia,-8.108,112.92,D1,3
1967,12,4,TSU,,Deception Island,Antarctica,Antarctica,-62.97,-60.65,D1,3
1968,4,21,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,D1,3
1968,7,29,,,Arenal,Costa Rica,Costa Rica,10.463,-84.703,D1,3
1969,1,7,,,Merapi,Java,Indonesia,-7.542,110.442,D1,2
1969,1,28,,,Iya,Lesser Sunda Is,Indonesia,-8.88,121.63,D1,3
1969,3,21,TSU,,Didicas,Luzon-N of,Philippines,19.077,122.202,D1,2
1969,8,26,,,Narugo,Honshu-Japan,Japan,38.73,140.73,D6,
1970,3,2,,,Campi Flegrei,Italy,Italy,40.827,14.139,D5,
1970,5,5,,,Hekla,Iceland-S,Iceland,63.98,-19.7,D1,3
1971,8,12,,,"Hudson, Cerro",Chile-S,Chile,-45.9,-72.97,D1,3
1971,9,6,TSU,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,D1,2
1971,9,14,,,Fuego,Guatemala,Guatemala,14.473,-90.88,D1,3
1971,10,26,,,La Palma,Canary Is,Spain,28.58,-17.83,D1,2
1971,10,29,,,Villarrica,Chile-C,Chile,-39.42,-71.93,D1,2
1971,12,27,,,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,D1,
